Bedrooms,Asking_Price
1,338000
1,324000
1,537000
1,340000
1,319000
1,354000
2,405000
2,658000
2,396000
2,405000
2,362000
2,423000
2,516000
2,361000
2,365000
2,407000
2,412000
2,397000
2,383000
2,461000
2,355000
2,396000
2,386000
2,380000
2,413000
3,486000
3,411000
3,384000
3,460000
3,424000
3,435000
3,415000
3,363000
3,451000
3,451000
3,496000
3,435000
3,479000
3,446000
3,461000
3,389000
3,330000
3,530000
3,529000
3,465000
3,512000
3,454000
3,433000
3,390000
3,540000
3,412000
3,558000
3,452000
3,439000
3,493000
3,425000
3,519000
3,676000
3,411000
3,411000
3,356000
3,624000
3,511000
3,593000
3,391000
3,589000
3,326000
3,335000
3,434000
3,548000
4,493000
4,425000
4,477000
4,329000
4,578000
4,480000
4,522000
4,684000
4,607000
4,602000
4,485000
4,523000
4,629000
4,603000
4,475000
4,621000
4,547000
4,843000
4,539000
4,527000
4,618000
4,471000
4,448000
4,572000
5,524000
5,460000
5,464000
5,505000
6,841000
8,587000
